epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.92073,3.01427,4.18411,0.9847,0.03065,0.19383,0.11798,0.06646,1.74747,3.63333,0.83067,0.000217163,0.000217163,0.000217163
2,4.71839,1.66256,1.32813,0.79059,0.05126,0.229,0.222,0.14797,1.26373,2.59847,0.82082,0.000435145,0.000435145,0.000435145
3,6.51619,1.39035,0.81712,0.77395,0.74088,0.26508,0.39872,0.23492,1.03408,0.80041,0.80245,0.000648725,0.000648725,0.000648725
4,8.34691,1.31031,0.71088,0.76757,0.74788,0.27587,0.51087,0.28265,1.19106,0.54887,0.80395,0.00064719,0.00064719,0.00064719
5,10.1542,1.17797,0.62961,0.76418,0.2802,0.74773,0.59569,0.3606,0.8404,0.39218,0.79627,0.000640587,0.000640587,0.000640587
6,11.9484,1.09136,0.57172,0.75858,0.73199,0.29934,0.57049,0.30657,1.03427,0.44041,0.79707,0.000633983,0.000633983,0.000633983
7,13.7372,1.10818,0.56486,0.7584,0.68414,0.31836,0.55059,0.32161,0.92715,0.34318,0.79322,0.00062738,0.00062738,0.00062738
8,15.533,1.05094,0.53247,0.75801,0.33535,0.66347,0.56356,0.3288,0.59946,0.36461,0.78859,0.000620777,0.000620777,0.000620777
9,17.3359,0.98879,0.49998,0.75351,0.34349,0.70965,0.54913,0.35426,0.61805,0.30604,0.78929,0.000614174,0.000614174,0.000614174
10,19.1194,0.95942,0.48051,0.75468,0.36608,0.67347,0.56039,0.34497,0.77018,0.32218,0.79058,0.00060757,0.00060757,0.00060757
11,20.9203,0.9152,0.46039,0.7574,0.34928,0.6728,0.53166,0.32881,0.96455,0.45416,0.78856,0.000600967,0.000600967,0.000600967
12,22.7138,0.90024,0.44939,0.7533,0.38283,0.64486,0.57375,0.40369,0.7367,0.3068,0.78878,0.000594364,0.000594364,0.000594364
13,24.5125,0.89165,0.44342,0.75322,0.36029,0.5357,0.49832,0.33638,0.8185,0.36847,0.78933,0.00058776,0.00058776,0.00058776
14,26.3065,0.87334,0.42951,0.7529,0.40653,0.653,0.57013,0.35366,0.92636,0.45471,0.78917,0.000581157,0.000581157,0.000581157
15,28.1027,0.8446,0.41633,0.75018,0.36329,0.54754,0.53241,0.37767,0.94307,0.42973,0.78843,0.000574554,0.000574554,0.000574554
16,29.9092,0.83643,0.41159,0.75004,0.68768,0.34638,0.40357,0.28918,0.90096,0.37323,0.78776,0.00056795,0.00056795,0.00056795
17,31.7669,0.81234,0.4026,0.75108,0.74813,0.39959,0.46638,0.3705,0.48206,0.30197,0.7873,0.000561347,0.000561347,0.000561347
18,33.5915,0.82337,0.39997,0.75072,0.86327,0.39456,0.45256,0.33284,0.73806,0.30875,0.78595,0.000554744,0.000554744,0.000554744
19,35.3983,0.76722,0.3816,0.7467,0.41264,0.57716,0.57494,0.4063,0.63756,0.26442,0.78712,0.000548141,0.000548141,0.000548141
20,37.2513,0.77917,0.38006,0.74842,0.88367,0.38007,0.45902,0.37823,0.40266,0.24499,0.78565,0.000541537,0.000541537,0.000541537
21,39.0869,0.76541,0.36911,0.74909,0.75162,0.39049,0.56854,0.43475,0.40061,0.20153,0.7842,0.000534934,0.000534934,0.000534934
22,40.8951,0.75783,0.36861,0.74768,0.90556,0.34902,0.48179,0.39153,0.41492,0.24245,0.78605,0.000528331,0.000528331,0.000528331
23,42.6995,0.72286,0.354,0.74943,0.67649,0.36945,0.47713,0.37573,0.59691,0.25458,0.7875,0.000521727,0.000521727,0.000521727
24,44.5036,0.71387,0.35095,0.74838,0.4827,0.60452,0.59266,0.44045,0.51344,0.23297,0.78535,0.000515124,0.000515124,0.000515124
25,46.35,0.72649,0.35209,0.74571,0.36062,0.53171,0.54021,0.4242,0.48784,0.24041,0.78599,0.000508521,0.000508521,0.000508521
26,48.1635,0.71551,0.34796,0.74639,0.44443,0.52903,0.55537,0.4031,0.6157,0.24966,0.78476,0.000501917,0.000501917,0.000501917
27,49.9697,0.6992,0.33854,0.74771,0.61542,0.37034,0.53147,0.39193,0.57225,0.26591,0.78485,0.000495314,0.000495314,0.000495314
28,51.8281,0.70351,0.34463,0.74625,0.77328,0.36882,0.47235,0.37893,0.60285,0.277,0.78458,0.000488711,0.000488711,0.000488711
29,53.6387,0.69906,0.34556,0.7456,0.75012,0.37012,0.47215,0.38252,0.48989,0.23136,0.78552,0.000482108,0.000482108,0.000482108
30,55.4747,0.67583,0.33326,0.74487,0.65695,0.3626,0.4661,0.36493,0.46078,0.25738,0.786,0.000475504,0.000475504,0.000475504
31,57.3186,0.63861,0.31578,0.74689,0.73953,0.37901,0.47763,0.39998,0.44646,0.21738,0.78398,0.000468901,0.000468901,0.000468901
32,59.1488,0.64462,0.31304,0.74595,0.75487,0.38594,0.46841,0.39184,0.38386,0.26255,0.78371,0.000462298,0.000462298,0.000462298
33,60.9641,0.66616,0.31739,0.74536,0.78635,0.37068,0.47869,0.39336,0.4287,0.22181,0.784,0.000455694,0.000455694,0.000455694
34,62.7532,0.64249,0.31621,0.74545,0.60986,0.37582,0.4575,0.3915,0.37778,0.25092,0.78425,0.000449091,0.000449091,0.000449091
35,64.5596,0.63872,0.31039,0.74738,0.44539,0.45354,0.4987,0.39457,0.48976,0.21469,0.78422,0.000442488,0.000442488,0.000442488
36,66.4118,0.61681,0.30343,0.74336,0.78868,0.37403,0.48016,0.39878,0.45292,0.21667,0.784,0.000435884,0.000435884,0.000435884
37,68.2145,0.63362,0.30783,0.74548,0.67468,0.36336,0.47151,0.39627,0.4602,0.21543,0.78391,0.000429281,0.000429281,0.000429281
38,70.0204,0.63703,0.31095,0.74593,0.71774,0.37934,0.46111,0.36213,0.6915,0.27284,0.78459,0.000422678,0.000422678,0.000422678
39,71.8216,0.63286,0.30418,0.74416,0.90503,0.35446,0.47452,0.39043,0.38346,0.17859,0.78251,0.000416075,0.000416075,0.000416075
40,73.6773,0.60443,0.29427,0.74497,0.66024,0.36063,0.46615,0.38408,0.42804,0.22516,0.78244,0.000409471,0.000409471,0.000409471
41,75.4837,0.5971,0.28971,0.74398,0.90507,0.35117,0.4588,0.38283,0.40104,0.16889,0.78433,0.000402868,0.000402868,0.000402868
42,77.2761,0.58949,0.2916,0.74264,0.61573,0.36016,0.4602,0.37267,0.72515,0.2584,0.78449,0.000396265,0.000396265,0.000396265
43,79.0985,0.59388,0.29216,0.74425,0.62251,0.37494,0.47193,0.42162,0.25616,0.14539,0.78206,0.000389661,0.000389661,0.000389661
44,80.9035,0.57421,0.28306,0.7423,0.65307,0.38195,0.46957,0.39893,0.43754,0.21943,0.78308,0.000383058,0.000383058,0.000383058
45,82.7055,0.55325,0.27763,0.74177,0.71528,0.35125,0.46892,0.40314,0.33869,0.18379,0.78242,0.000376455,0.000376455,0.000376455
46,84.5015,0.57465,0.27834,0.74166,0.66405,0.36773,0.45268,0.3775,0.44717,0.23733,0.78338,0.000369851,0.000369851,0.000369851
47,86.3305,0.57066,0.27874,0.74302,0.81515,0.35078,0.46328,0.40618,0.26574,0.13878,0.78206,0.000363248,0.000363248,0.000363248
48,88.1227,0.58198,0.28199,0.7428,0.45103,0.43094,0.48273,0.41094,0.44726,0.18726,0.78255,0.000356645,0.000356645,0.000356645
49,89.9173,0.57946,0.27859,0.74397,0.71429,0.35122,0.4632,0.3857,0.4433,0.20438,0.78359,0.000350042,0.000350042,0.000350042
50,91.7114,0.54511,0.27137,0.74305,0.47679,0.41958,0.48636,0.40785,0.25884,0.1796,0.78189,0.000343438,0.000343438,0.000343438
51,93.534,0.56077,0.27777,0.7409,0.81467,0.35076,0.47677,0.39579,0.27543,0.1674,0.78305,0.000336835,0.000336835,0.000336835
52,95.356,0.54565,0.26463,0.74244,0.48775,0.4117,0.48759,0.41726,0.22685,0.15397,0.78234,0.000330232,0.000330232,0.000330232
53,97.1779,0.5546,0.27486,0.74291,0.69764,0.36083,0.46369,0.4019,0.24287,0.16835,0.7823,0.000323628,0.000323628,0.000323628
54,98.9947,0.55435,0.26636,0.74504,0.46945,0.42054,0.49313,0.4252,0.25488,0.16343,0.78253,0.000317025,0.000317025,0.000317025
55,100.839,0.53898,0.26892,0.7417,0.79381,0.36455,0.47368,0.40543,0.3081,0.17166,0.78307,0.000310422,0.000310422,0.000310422
56,102.646,0.52564,0.25861,0.74129,0.57309,0.36941,0.46193,0.40196,0.28616,0.15135,0.78213,0.000303818,0.000303818,0.000303818
57,104.46,0.52697,0.25708,0.74379,0.90655,0.34725,0.47729,0.41228,0.2334,0.15489,0.78278,0.000297215,0.000297215,0.000297215
58,106.288,0.5172,0.25673,0.74177,0.44569,0.41306,0.4601,0.39134,0.44269,0.20307,0.7823,0.000290612,0.000290612,0.000290612
59,108.1,0.52111,0.25682,0.74277,0.47838,0.41255,0.47479,0.39968,0.3062,0.17486,0.78319,0.000284009,0.000284009,0.000284009
60,109.898,0.52662,0.25885,0.74417,0.9065,0.35254,0.47109,0.39624,0.31155,0.18618,0.78181,0.000277405,0.000277405,0.000277405
61,111.707,0.51215,0.25448,0.74383,0.46476,0.41558,0.47558,0.40783,0.29697,0.18638,0.78307,0.000270802,0.000270802,0.000270802
62,113.528,0.50601,0.2554,0.74266,0.50035,0.41297,0.47003,0.41164,0.30909,0.18754,0.78177,0.000264199,0.000264199,0.000264199
63,115.339,0.51092,0.25388,0.74023,0.72293,0.35235,0.46459,0.40062,0.30679,0.15759,0.78168,0.000257595,0.000257595,0.000257595
64,117.146,0.50691,0.25269,0.74324,0.56931,0.36129,0.47039,0.4163,0.26467,0.15658,0.78191,0.000250992,0.000250992,0.000250992
65,118.949,0.50489,0.25417,0.74153,0.46218,0.40681,0.47537,0.40506,0.33281,0.17392,0.78245,0.000244389,0.000244389,0.000244389
66,120.776,0.49278,0.24561,0.74313,0.81239,0.34634,0.46761,0.40999,0.22112,0.13353,0.78171,0.000237785,0.000237785,0.000237785
67,122.589,0.47107,0.23326,0.74116,0.51594,0.41023,0.48192,0.41241,0.32879,0.16737,0.78161,0.000231182,0.000231182,0.000231182
68,124.402,0.47951,0.24321,0.74222,0.46676,0.41961,0.48753,0.42562,0.22973,0.13453,0.78116,0.000224579,0.000224579,0.000224579
69,126.215,0.47678,0.23911,0.74098,0.52085,0.41058,0.50051,0.42809,0.28422,0.14484,0.78179,0.000217976,0.000217976,0.000217976
70,128.046,0.46007,0.23221,0.74159,0.47772,0.41275,0.4748,0.41418,0.30724,0.15996,0.78176,0.000211372,0.000211372,0.000211372
71,129.887,0.47806,0.23993,0.73884,0.50451,0.4136,0.48895,0.42936,0.25522,0.17363,0.78195,0.000204769,0.000204769,0.000204769
72,131.714,0.46425,0.23107,0.74066,0.8115,0.34961,0.45318,0.4049,0.22192,0.13906,0.78155,0.000198166,0.000198166,0.000198166
73,133.602,0.46166,0.23106,0.74021,0.81093,0.35144,0.46537,0.41318,0.18535,0.11343,0.78057,0.000191562,0.000191562,0.000191562
74,135.423,0.45669,0.23115,0.74154,0.52664,0.41069,0.48372,0.41543,0.23383,0.14594,0.78109,0.000184959,0.000184959,0.000184959
75,137.238,0.45694,0.22864,0.73944,0.48992,0.40311,0.47692,0.39437,0.38858,0.18092,0.78136,0.000178356,0.000178356,0.000178356
76,139.065,0.46114,0.22965,0.74314,0.4867,0.4121,0.48222,0.41472,0.22818,0.15047,0.7811,0.000171752,0.000171752,0.000171752
77,140.865,0.46378,0.22924,0.7403,0.49528,0.40942,0.47878,0.4285,0.27527,0.14024,0.78076,0.000165149,0.000165149,0.000165149
