epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.651,2.16735,2.68604,0.85058,0.73303,0.24263,0.346,0.19466,1.41465,0.92798,0.84789,0.00332233,0.00332233,0.00332233
2,28.2981,1.80471,0.88988,0.79907,0.84165,0.27944,0.39803,0.2175,1.47312,0.63911,0.84429,0.00658977,0.00658977,0.00658977
3,42.0602,1.60994,0.73195,0.79261,0.689,0.28223,0.46031,0.278,1.19355,0.53121,0.82117,0.00979122,0.00979122,0.00979122
4,55.7237,1.27975,0.58262,0.78216,0.72407,0.30557,0.36793,0.26265,0.72471,0.3863,0.81658,0.009703,0.009703,0.009703
5,69.2143,1.04727,0.48666,0.77441,0.59262,0.2957,0.42231,0.28981,0.64691,0.33752,0.8144,0.009604,0.009604,0.009604
6,82.7041,0.93429,0.43407,0.77078,0.67945,0.29397,0.41202,0.28944,0.56455,0.32205,0.8106,0.009505,0.009505,0.009505
7,96.3432,0.86095,0.39887,0.76557,0.31291,0.49356,0.42836,0.32451,0.41757,0.25953,0.80602,0.009406,0.009406,0.009406
8,109.94,0.79348,0.3694,0.76384,0.68248,0.28569,0.37331,0.30567,0.37538,0.24458,0.813,0.009307,0.009307,0.009307
9,123.479,0.74711,0.34537,0.76285,0.35886,0.46807,0.47308,0.34316,0.40125,0.20727,0.80425,0.009208,0.009208,0.009208
10,137.047,0.71821,0.3329,0.76096,0.38531,0.46808,0.46931,0.34974,0.52452,0.24777,0.80666,0.009109,0.009109,0.009109
11,150.669,0.69249,0.31919,0.75943,0.37072,0.45855,0.44365,0.36608,0.37655,0.24462,0.80348,0.00901,0.00901,0.00901
12,164.283,0.6674,0.30974,0.75884,0.39587,0.45928,0.40231,0.33991,0.36455,0.21425,0.80639,0.008911,0.008911,0.008911
13,177.718,0.64611,0.29925,0.7577,0.5452,0.36788,0.41008,0.35081,0.29161,0.19396,0.8015,0.008812,0.008812,0.008812
14,191.321,0.62689,0.29132,0.7565,0.40677,0.38708,0.41649,0.35666,0.29529,0.1811,0.80346,0.008713,0.008713,0.008713
15,204.949,0.61255,0.28759,0.75636,0.77759,0.35066,0.44111,0.37766,0.33796,0.23363,0.8028,0.008614,0.008614,0.008614
16,218.581,0.59871,0.2802,0.75491,0.43463,0.38921,0.44497,0.37032,0.35077,0.17892,0.80156,0.008515,0.008515,0.008515
