epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2345,2.06341,2.05074,0.8449,0.58076,0.29332,0.2642,0.11939,1.81399,0.85071,0.84797,0.0033224,0.0033224,0.0033224
2,33.7736,1.73967,0.87219,0.78973,0.56538,0.3339,0.3579,0.23265,1.30048,0.66799,0.83335,0.00657337,0.00657337,0.00657337
3,50.2705,1.56353,0.76773,0.7869,0.28515,0.61284,0.43518,0.24187,1.50864,0.694,0.8104,0.00974184,0.00974184,0.00974184
4,66.7427,1.24634,0.65927,0.77778,0.43365,0.3156,0.30579,0.22993,0.65626,0.48223,0.82167,0.00962875,0.00962875,0.00962875
5,83.2457,1.0018,0.57672,0.77221,0.60857,0.28061,0.29587,0.21948,0.69076,0.42366,0.82425,0.009505,0.009505,0.009505
6,99.8333,0.87802,0.52714,0.76828,0.58402,0.27866,0.31969,0.24581,0.58769,0.44821,0.8165,0.00938125,0.00938125,0.00938125
7,116.41,0.80713,0.50171,0.76361,0.59569,0.28542,0.32113,0.26999,0.39653,0.33557,0.81121,0.0092575,0.0092575,0.0092575
8,133.002,0.75186,0.48644,0.76211,0.65059,0.28343,0.31447,0.26287,0.45009,0.40419,0.81655,0.00913375,0.00913375,0.00913375
9,149.518,0.71179,0.47013,0.76155,0.65231,0.28672,0.32029,0.27607,0.42909,0.38631,0.81177,0.00901,0.00901,0.00901
10,166.033,0.67925,0.45099,0.75907,0.65525,0.3037,0.34047,0.30748,0.28388,0.28764,0.80692,0.00888625,0.00888625,0.00888625
11,182.619,0.65342,0.44055,0.75747,0.55331,0.3205,0.30474,0.27384,0.46076,0.35241,0.80329,0.0087625,0.0087625,0.0087625
12,199.315,0.6323,0.43259,0.75641,0.73063,0.29273,0.3392,0.29715,0.36163,0.31732,0.80805,0.00863875,0.00863875,0.00863875
13,215.928,0.61166,0.42386,0.75588,0.55552,0.325,0.33145,0.3028,0.31142,0.29749,0.79766,0.008515,0.008515,0.008515
14,232.462,0.59185,0.41579,0.75446,0.64688,0.30843,0.35055,0.31875,0.24493,0.27513,0.79949,0.00839125,0.00839125,0.00839125
15,249.102,0.5742,0.40894,0.75452,0.35843,0.42463,0.35976,0.31567,0.29467,0.29773,0.79935,0.0082675,0.0082675,0.0082675
16,265.607,0.56349,0.39969,0.75356,0.6462,0.31327,0.37569,0.32456,0.31233,0.3094,0.79937,0.00814375,0.00814375,0.00814375
17,282.319,0.54748,0.39629,0.75154,0.64295,0.33809,0.37206,0.34059,0.23293,0.28149,0.79732,0.00802,0.00802,0.00802
18,298.982,0.53871,0.38995,0.75233,0.37819,0.41349,0.37303,0.32689,0.31143,0.27533,0.79838,0.00789625,0.00789625,0.00789625
19,315.567,0.52479,0.38181,0.752,0.64617,0.31985,0.34729,0.31788,0.28772,0.29398,0.7976,0.0077725,0.0077725,0.0077725
20,332.162,0.51668,0.37789,0.75097,0.64421,0.31719,0.35674,0.33073,0.24691,0.27606,0.7975,0.00764875,0.00764875,0.00764875
21,348.737,0.50443,0.37238,0.75022,0.649,0.33719,0.37869,0.34213,0.23286,0.25639,0.79757,0.007525,0.007525,0.007525
22,365.166,0.4976,0.36574,0.75041,0.59528,0.36422,0.33609,0.30475,0.34666,0.29829,0.79536,0.00740125,0.00740125,0.00740125
23,381.797,0.49074,0.36589,0.74959,0.56179,0.38248,0.38474,0.33545,0.24419,0.27634,0.79459,0.0072775,0.0072775,0.0072775
24,398.412,0.48068,0.35905,0.74973,0.57621,0.37511,0.35709,0.33339,0.22122,0.29552,0.79388,0.00715375,0.00715375,0.00715375
25,414.901,0.47213,0.35519,0.74846,0.58962,0.37049,0.3689,0.33824,0.23728,0.26008,0.79383,0.00703,0.00703,0.00703
26,431.563,0.46297,0.3517,0.74893,0.42752,0.37483,0.35644,0.33167,0.20362,0.243,0.7935,0.00690625,0.00690625,0.00690625
27,448.14,0.45723,0.34911,0.74839,0.58489,0.3757,0.36477,0.3316,0.24033,0.28624,0.79253,0.0067825,0.0067825,0.0067825
28,464.717,0.45071,0.34081,0.74787,0.65729,0.33763,0.38691,0.34831,0.16288,0.24463,0.79264,0.00665875,0.00665875,0.00665875
29,481.297,0.4423,0.3399,0.74576,0.65457,0.3337,0.35564,0.33629,0.18522,0.25652,0.7924,0.006535,0.006535,0.006535
30,497.85,0.43267,0.33823,0.74681,0.57622,0.37752,0.3574,0.33861,0.21197,0.26812,0.79266,0.00641125,0.00641125,0.00641125
31,514.526,0.42792,0.33311,0.74588,0.58813,0.3766,0.36144,0.34498,0.23847,0.28428,0.79235,0.0062875,0.0062875,0.0062875
32,531.114,0.42418,0.33168,0.74668,0.51274,0.37664,0.35882,0.3424,0.23319,0.26179,0.79191,0.00616375,0.00616375,0.00616375
33,547.761,0.41752,0.32526,0.74548,0.49608,0.38338,0.37219,0.34157,0.23448,0.26418,0.7917,0.00604,0.00604,0.00604
34,564.243,0.41153,0.3234,0.74531,0.51548,0.37821,0.3683,0.35129,0.21399,0.25886,0.79079,0.00591625,0.00591625,0.00591625
35,580.906,0.4043,0.32033,0.74416,0.51597,0.37836,0.37109,0.35937,0.16175,0.23659,0.79073,0.0057925,0.0057925,0.0057925
36,597.535,0.39904,0.3184,0.74572,0.46282,0.37931,0.38105,0.35773,0.15611,0.24415,0.79009,0.00566875,0.00566875,0.00566875
37,614.088,0.39097,0.31422,0.74518,0.54694,0.37863,0.36947,0.35795,0.14978,0.23586,0.78965,0.005545,0.005545,0.005545
38,630.692,0.38856,0.31266,0.74387,0.4772,0.3769,0.36716,0.35475,0.17547,0.25521,0.78922,0.00542125,0.00542125,0.00542125
39,647.353,0.38223,0.31179,0.74431,0.48403,0.37781,0.35977,0.34859,0.19664,0.2513,0.78921,0.0052975,0.0052975,0.0052975
40,663.924,0.37492,0.30784,0.74429,0.47838,0.37833,0.3649,0.35421,0.17967,0.25332,0.78894,0.00517375,0.00517375,0.00517375
41,680.367,0.37009,0.30352,0.74354,0.51518,0.3777,0.3585,0.34703,0.19091,0.25287,0.78867,0.00505,0.00505,0.00505
42,696.935,0.36532,0.30098,0.74307,0.51641,0.37753,0.35902,0.34703,0.18893,0.25712,0.78857,0.00492625,0.00492625,0.00492625
43,713.537,0.35973,0.29913,0.74382,0.51746,0.3773,0.35961,0.34798,0.20172,0.2499,0.78843,0.0048025,0.0048025,0.0048025
44,730.169,0.35328,0.29705,0.74354,0.51734,0.37766,0.36346,0.3525,0.19646,0.25467,0.78805,0.00467875,0.00467875,0.00467875
45,746.856,0.34918,0.29164,0.74225,0.51741,0.37701,0.36007,0.34896,0.19622,0.25735,0.78784,0.004555,0.004555,0.004555
46,763.443,0.3416,0.29404,0.7433,0.49933,0.38137,0.36424,0.35095,0.17923,0.24999,0.78757,0.00443125,0.00443125,0.00443125
47,780.084,0.33898,0.28868,0.74204,0.5068,0.37783,0.3671,0.35322,0.16604,0.24557,0.78751,0.0043075,0.0043075,0.0043075
48,796.733,0.33217,0.28812,0.7413,0.50384,0.38106,0.36388,0.35249,0.16563,0.24879,0.7874,0.00418375,0.00418375,0.00418375
49,813.296,0.32942,0.28328,0.74126,0.5178,0.37731,0.36515,0.35491,0.17747,0.25575,0.78718,0.00406,0.00406,0.00406
50,829.753,0.32378,0.28199,0.74174,0.51782,0.37756,0.36467,0.35524,0.1614,0.24469,0.78694,0.00393625,0.00393625,0.00393625
51,846.074,0.31915,0.28179,0.74006,0.51773,0.37759,0.36482,0.35611,0.15575,0.24018,0.78668,0.0038125,0.0038125,0.0038125
52,862.431,0.31274,0.27885,0.74122,0.51719,0.37771,0.36564,0.35742,0.13787,0.22204,0.7865,0.00368875,0.00368875,0.00368875
53,878.847,0.30905,0.27401,0.74206,0.51776,0.37796,0.36774,0.35936,0.15034,0.23575,0.78638,0.003565,0.003565,0.003565
54,895.334,0.30559,0.27162,0.74071,0.51851,0.37809,0.36869,0.36101,0.16646,0.25045,0.78628,0.00344125,0.00344125,0.00344125
55,912.113,0.29964,0.26808,0.74102,0.51919,0.37807,0.36796,0.36047,0.16111,0.24557,0.78613,0.0033175,0.0033175,0.0033175
56,928.759,0.29433,0.26486,0.74001,0.51961,0.37808,0.36792,0.36109,0.14419,0.22834,0.78596,0.00319375,0.00319375,0.00319375
57,945.222,0.29118,0.26429,0.74067,0.52034,0.37808,0.36678,0.36085,0.14026,0.22561,0.78578,0.00307,0.00307,0.00307
58,961.633,0.28597,0.26307,0.73987,0.52062,0.37809,0.36813,0.36117,0.15617,0.23798,0.78564,0.00294625,0.00294625,0.00294625
59,978.188,0.28194,0.25882,0.73911,0.47194,0.37827,0.37022,0.36258,0.16974,0.24833,0.7855,0.0028225,0.0028225,0.0028225
60,994.853,0.27492,0.25387,0.7393,0.48446,0.37842,0.3658,0.35807,0.17171,0.25097,0.78534,0.00269875,0.00269875,0.00269875
61,1011.47,0.27377,0.25523,0.73898,0.4938,0.37845,0.36509,0.35717,0.19356,0.25397,0.7852,0.002575,0.002575,0.002575
62,1029.49,0.26711,0.24728,0.73887,0.49785,0.37974,0.36809,0.36115,0.18473,0.26096,0.78507,0.00245125,0.00245125,0.00245125
63,1047.43,0.26453,0.25149,0.7384,0.49907,0.37986,0.36566,0.35883,0.16051,0.24527,0.78492,0.0023275,0.0023275,0.0023275
64,1065.57,0.25914,0.24393,0.73904,0.49919,0.37982,0.36852,0.36307,0.15287,0.23834,0.78483,0.00220375,0.00220375,0.00220375
65,1082.75,0.25421,0.24801,0.7386,0.49886,0.37972,0.37037,0.36535,0.14085,0.23158,0.7847,0.00208,0.00208,0.00208
66,1099.31,0.25098,0.24293,0.73797,0.49524,0.37928,0.36889,0.36435,0.12753,0.21824,0.78461,0.00195625,0.00195625,0.00195625
67,1115.6,0.24578,0.24021,0.73777,0.49519,0.37927,0.36585,0.36089,0.1165,0.20606,0.78451,0.0018325,0.0018325,0.0018325
68,1132.17,0.24317,0.23779,0.73832,0.49947,0.37961,0.36843,0.36267,0.12238,0.21011,0.78441,0.00170875,0.00170875,0.00170875
69,1148.71,0.23822,0.23312,0.73758,0.50322,0.38005,0.36628,0.36047,0.1298,0.21809,0.78427,0.001585,0.001585,0.001585
70,1165.21,0.23459,0.23159,0.73669,0.50415,0.3807,0.36981,0.36405,0.13774,0.22711,0.78412,0.00146125,0.00146125,0.00146125
71,1181.91,0.20431,0.18343,0.7382,0.50405,0.38067,0.36858,0.36344,0.1424,0.2328,0.78395,0.0013375,0.0013375,0.0013375
72,1198.42,0.1947,0.18029,0.73807,0.50501,0.38087,0.36658,0.36124,0.14313,0.23355,0.78383,0.00121375,0.00121375,0.00121375
73,1214.92,0.18893,0.17563,0.73851,0.5083,0.38158,0.37092,0.36625,0.15043,0.24298,0.78368,0.00109,0.00109,0.00109
74,1231.37,0.18384,0.17104,0.73772,0.50651,0.38151,0.3658,0.3609,0.16488,0.24961,0.78357,0.00096625,0.00096625,0.00096625
75,1247.8,0.17992,0.16633,0.73686,0.50632,0.38221,0.37054,0.36548,0.17488,0.25816,0.78346,0.0008425,0.0008425,0.0008425
76,1264.15,0.17582,0.16303,0.73661,0.50284,0.38219,0.3696,0.36463,0.18252,0.24498,0.78327,0.00071875,0.00071875,0.00071875
